Time (ms),Angle 1,,
1210,1.822918,3.141592654,1.318674654
1218,1.809583,3.141592654,1.332009654
1226,1.798014,3.141592654,1.343578654
1235,1.788354,3.141592654,1.353238654
1243,1.780525,3.141592654,1.361067654
1251,1.774417,3.141592654,1.367175654
1260,1.770162,3.141592654,1.371430654
1268,1.767981,3.141592654,1.373611654
1276,1.767847,3.141592654,1.373745654
1285,1.769477,3.141592654,1.372115654
1293,1.772557,3.141592654,1.369035654
1301,1.776931,3.141592654,1.364661654
1310,1.782759,3.141592654,1.358833654
1318,1.790484,3.141592654,1.351108654
1326,1.800411,3.141592654,1.341181654
1335,1.812354,3.141592654,1.329238654
1343,1.825945,3.141592654,1.315647654
1351,1.841158,3.141592654,1.300434654
1360,1.858244,3.141592654,1.283348654
1368,1.877316,3.141592654,1.264276654
1376,1.898238,3.141592654,1.243354654
1385,1.920696,3.141592654,1.220896654
1393,1.944337,3.141592654,1.197255654
1401,1.968941,3.141592654,1.172651654
1410,1.994319,3.141592654,1.147273654
1418,2.020217,3.141592654,1.121375654
1426,2.046459,3.141592654,1.095133654
1435,2.073102,3.141592654,1.068490654
1443,2.100332,3.141592654,1.041260654
1451,2.128168,3.141592654,1.013424654
1460,2.156325,3.141592654,0.985267654
1468,2.184118,3.141592654,0.957474654
1476,2.210336,3.141592654,0.931256654
1485,2.233588,3.141592654,0.908004654
1493,2.253217,3.141592654,0.888375654
1502,2.270186,3.141592654,0.871406654
