"Time (ms)","Angle 1"
"0","-2.61947"
"8","-2.628256"
"17","-2.636506"
"25","-2.643571"
"33","-2.64906"
"42","-2.653022"
"50","-2.65586"
"58","-2.658218"
"67","-2.66085"
"75","-2.664504"
"83","-2.669817"
"92","-2.677122"
"100","-2.686298"
"108","-2.696861"
"117","-2.708167"
"125","-2.719525"
"133","-2.730317"
"142","-2.740182"
"150","-2.74912"
"158","-2.75738"
"167","-2.765301"
"175","-2.773226"
"184","-2.781436"
"192","-2.790103"
"200","-2.799301"
"209","-2.809008"
"217","-2.819085"
"225","-2.829311"
"234","-2.839503"
"242","-2.849669"
"250","-2.859971"
"259","-2.87054"
"267","-2.881369"
"275","-2.892359"
"284","-2.903429"
"292","-2.914592"
"300","-2.925892"
"309","-2.937316"
"317","-2.948803"
"325","-2.960253"
"334","-2.97151"
"342","-2.982443"
"350","-2.993076"
"359","-3.003583"
"367","-3.014144"
"375","-3.024852"
"384","-3.035712"
"392","-3.0467"
"400","-3.057786"
"409","-3.06894"
"417","-3.08012"
"425","-3.091293"
"434","-3.102424"
"442","-3.113403"
"450","-3.124031"
"459","-3.134176"
"467","3.139348"
"475","3.130101"
"484","3.121194"
"492","3.11257"
"500","3.104158"
"509","3.09584"
"517","3.087494"
"526","3.079069"
"534","3.07061"
"542","3.062221"
"551","3.054002"
"559","3.046074"
"567","3.038599"
"576","3.031754"
"584","3.025729"
"592","3.020704"
"601","3.016725"
"609","3.013649"
"617","3.011286"
"626","3.00953"
"634","3.008315"
"642","3.007507"
"651","3.006943"
"659","3.006483"
"667","3.006027"
"676","3.005524"
"684","3.005041"
"692","3.004787"
"701","3.005038"
"709","3.005998"
"717","3.007718"
"726","3.010143"
"734","3.013201"
"742","3.016811"
"751","3.020879"
"759","3.025381"
"767","3.030418"
"776","3.036134"
"784","3.042659"
"792","3.050121"
"801","3.058611"
"809","3.068128"
"817","3.078642"
"826","3.090227"
"834","3.103096"
"843","3.117488"
"851","3.133564"
"859","-3.131877"
"868","-3.112723"
"876","-3.092657"
"884","-3.072286"
"893","-3.052124"
"901","-3.032425"
"909","-3.013175"
"918","-2.994271"
"926","-2.975751"
"934","-2.957786"
"943","-2.940506"
"951","-2.923935"
"959","-2.908035"
"968","-2.892667"
"976","-2.877578"
"984","-2.862518"
"993","-2.847349"
"1001","-2.832019"
"1009","-2.816523"
"1018","-2.800899"
"1026","-2.785246"
"1034","-2.769678"
"1043","-2.754281"
"1051","-2.739177"
"1059","-2.724604"
"1068","-2.71084"
"1076","-2.698091"
"1084","-2.686407"
"1093","-2.675595"
"1101","-2.665196"
"1109","-2.654658"
"1118","-2.643635"
"1126","-2.632108"
"1134","-2.620295"
"1143","-2.608558"
"1151","-2.597327"
"1159","-2.586977"
"1168","-2.577746"
"1176","-2.569788"
"1185","-2.563252"
"1193","-2.55823"
"1201","-2.554626"
"1210","-2.552176"
"1218","-2.550587"
"1226","-2.549659"
"1235","-2.549368"
"1243","-2.549839"
"1251","-2.551255"
"1260","-2.553842"
"1268","-2.557822"
"1276","-2.563325"
"1285","-2.57035"
"1293","-2.578775"
"1301","-2.588455"
"1310","-2.599343"
"1318","-2.611468"
"1326","-2.6248"
"1335","-2.639113"
"1343","-2.653861"
"1351","-2.668083"
